georgian,latin,IPA,cyrllic
ა,a,a,а
აჼ,aⁿ,ã,аᴴ
აა,ā,aː,а:
ბ,b,b,б
გ,g,g,г
დ,d,d,д
ე,e,e,е
ეჼ,ẽ,ẽ,еᴴ
ე̆,ě,ě,Е
ვ,v,v,в
ზ,z,z,з
თ,t,tʰ,т
თთ,tt,tʰː,тт
ი,i,i,и
იჼ,ĩ,ĩ,иᴴ
ი̆,ǐ,ǐ,И
ჲ,j,j,й
კ,ḳ,kʼ,кI
ლ,l,l,л
ლლ,ll,lː,лл
ლ‘,ɬ,ɬ,лъ
მ,m,m,м
ნ,n,n,н
ო,o,o,о
ოჼ,õ,õ,оᴴ
ო̆,ǒ,ǒ,О
პ,ṗ,pʼ,пI
ჟ,ž,ʒ,ж
რ,r,r,р
ს,s,s,с
სს,ss,sː,сс
ტ,ṭ,tʼ,тI
ტტ,ṭṭ,tʼː,тIтI
უ,u,u,у
უჼ,ũ,ũ,уᴴ
უ̆,ǔ,ǔ,У
ფ,p,pʰ,п
ქ,k,kʰ,к
ღ,ğ,ʁ,гъ
ყ,q̇,qʼ,къ
ყყ,q̇q̇,qʼː,къкъ
შ,š,ʃ,ш
ჩ,č,tʃʰ,ч
ც,c,ts,ц
ძ,ʒ,dz,дз
წ,c̣,tsʼ,цI
ჭ,č̣,tʃʼ,чI
ხ,x,x,х
ხხ,xx,xː,хх
ჴ,q,qʰ,хъ
ჴჴ,qq,qʰː,хъхъ
ჯ,ǯ,dʒ,дж
ჰ,h,h,гь
ჰ̣,ћ,ћ,хI
ჵ,ɦ,ɦ,ГЬ
ჺ,Ɂ,ʔ,ъ
ჸ,ʕ,ʕ,гI
